time,rpm,voltage
5000336,0,10.3
5000816,0,9.99
5001336,0,9.57
5001848,0,9.28
5002368,0,9.08
5002880,0,8.98
5003400,0,8.89
5003912,0,8.86
5004432,0,8.84
5004944,0,8.84
5005464,0,8.84
5005976,0,8.84
5006488,0,8.79
5006996,0,8.69
5007504,0,8.64
5008016,0,8.62
5008528,0,8.62
5009036,0,8.62
5009544,0,8.86
5010056,0,9.11
5010568,0,9.13
5011296,0,9.16
5012064,0,9.16
5012832,0,9.16
5013592,0,9.18
5014360,0,9.18
5015128,0,9.2
5015888,0,9.23
5016656,0,9.23
5017416,0,9.25
5018184,0,9.25
5018944,0,9.25
5019712,0,9.16
5020480,0,9.08
5021248,0,9.11
5022008,0,9.42
5022776,0,9.4
5023536,0,9.38
5024304,0,9.38
5025072,0,9.38
5025832,0,9.38
5026600,0,9.4
5027368,0,9.4
5028128,0,9.3
5028896,0,9.23
5029656,0,9.18
5030424,0,9.52
5031192,0,9.57
5031952,0,9.59
5032720,0,9.59
5033480,0,9.57
5034248,0,9.55
5035016,0,9.5
5035776,0,9.4
5036544,0,9.57
5037312,0,9.59
5038072,0,9.57
5038840,0,9.57
5039600,0,9.57
5040368,0,9.57
5041136,0,9.52
5041896,0,9.42
5042664,0,9.52
5043432,0,9.69
5044192,0,9.69
5044960,0,9.69
5045728,0,9.69
5046488,0,9.69
5047256,0,9.64
5048016,0,9.52
5048784,0,9.67
5049552,0,9.72
5050312,0,9.72
5051080,0,9.72
5051888,0,9.69
5052608,0,9.62
5053376,0,9.52
5054136,0,9.74
5054896,0,9.77
5055672,0,9.79
5056432,0,9.79
5057200,0,9.74
5057968,0,9.64
5058728,0,9.59
5059496,0,9.72
5060256,0,9.72
5061024,0,9.72
5061792,0,9.69
5062552,0,9.64
5063320,0,9.57
5064088,0,9.74
5064856,0,9.79
5065616,0,9.77
5066376,0,9.79
5067144,0,9.77
5067912,0,9.67
5068672,0,9.77
5069440,0,9.77
5070200,0,9.77
5070976,0,9.79
5071736,0,9.72
5072496,0,9.62
5073264,0,9.77
5074032,0,9.81
5074792,0,9.84
5075560,0,9.86
5076320,0,9.84
5077088,0,9.74
5077856,0,9.81
5078656,0,9.84
5079384,0,9.84
5080152,0,9.84
5080912,0,9.77
5081680,0,9.84
5082440,0,9.86
5083208,0,9.89
5083968,0,9.91
